Wed Jul 22 01:14:38 2015    server_profile

         1013272 function calls (1005766 primitive calls) in 4.904 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    536/1    0.054    0.000    4.908    4.908 {built-in method exec}
        1    0.142    0.142    4.908    4.908 server_profile.py:4(<module>)
        1    1.895    1.895    3.598    3.598 server_profile.py:112(main)
    506/7    0.006    0.000    1.167    0.167 <frozen importlib._bootstrap>:2234(_find_and_load)
    506/7    0.006    0.000    1.167    0.167 <frozen importlib._bootstrap>:2207(_find_and_load_unlocked)
    446/8    0.005    0.000    1.164    0.146 <frozen importlib._bootstrap>:1186(_load_unlocked)
    367/8    0.001    0.000    1.164    0.145 <frozen importlib._bootstrap>:1122(_exec)
    367/8    0.002    0.000    1.164    0.145 <frozen importlib._bootstrap>:1465(exec_module)
    564/8    0.001    0.000    1.162    0.145 <frozen importlib._bootstrap>:313(_call_with_frames_removed)
   414/34    0.002    0.000    0.847    0.025 {built-in method __import__}
      964    0.061    0.000    0.753    0.001 /usr/lib/python3.4/site-packages/scipy/stats/_distn_infrastructure.py:799(rvs)
 2123/836    0.004    0.000    0.736    0.001 <frozen importlib._bootstrap>:2264(_handle_fromlist)
      964    0.001    0.000    0.573    0.001 /usr/lib/python3.4/site-packages/scipy/stats/_continuous_distns.py:126(_rvs)
      964    0.571    0.001    0.571    0.001 {method 'standard_normal' of 'mtrand.RandomState' objects}
        1    0.000    0.000    0.479    0.479 /usr/lib/python3.4/site-packages/scipy/stats/__init__.py:335(<module>)
        1    0.000    0.000    0.466    0.466 /usr/lib/python3.4/site-packages/scipy/stats/stats.py:168(<module>)
        4    0.000    0.000    0.414    0.103 /usr/lib/python3.4/site-packages/matplotlib/pyplot.py:3090(plot)
        4    0.000    0.000    0.402    0.101 /usr/lib/python3.4/site-packages/matplotlib/pyplot.py:810(gca)
        1    0.000    0.000    0.388    0.388 /usr/lib/python3.4/site-packages/scipy/stats/distributions.py:8(<module>)
        1    0.001    0.001    0.374    0.374 /usr/lib/python3.4/site-packages/matplotlib/pyplot.py:17(<module>)
      964    0.275    0.000    0.275    0.000 {method 'tolist' of 'numpy.ndarray' objects}
        1    0.001    0.001    0.243    0.243 /usr/lib/python3.4/site-packages/scipy/stats/_continuous_distns.py:5(<module>)
       86    0.007    0.000    0.234    0.003 /usr/lib/python3.4/site-packages/scipy/stats/_distn_infrastructure.py:1399(__init__)
        4    0.000    0.000    0.227    0.057 /usr/lib/python3.4/site-packages/matplotlib/pyplot.py:455(gcf)
        1    0.000    0.000    0.227    0.227 /usr/lib/python3.4/site-packages/matplotlib/pyplot.py:327(figure)
        1    0.000    0.000    0.227    0.227 /usr/lib/python3.4/site-packages/matplotlib/backends/backend_qt4agg.py:39(new_figure_manager)
        1    0.000    0.000    0.226    0.226 /usr/lib/python3.4/site-packages/matplotlib/backends/backend_qt4agg.py:50(new_figure_manager_given_figure)
