Wed Jul 22 01:26:52 2015    server_profile

         6002727 function calls (5995221 primitive calls) in 24.428 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    536/1    0.054    0.000   24.432   24.432 {built-in method exec}
        1    0.144    0.144   24.432   24.432 server_profile.py:4(<module>)
        1   19.052   19.052   23.118   23.118 server_profile.py:112(main)
    506/7    0.006    0.000    1.170    0.167 <frozen importlib._bootstrap>:2234(_find_and_load)
    506/7    0.006    0.000    1.169    0.167 <frozen importlib._bootstrap>:2207(_find_and_load_unlocked)
    446/8    0.005    0.000    1.167    0.146 <frozen importlib._bootstrap>:1186(_load_unlocked)
    367/8    0.001    0.000    1.166    0.146 <frozen importlib._bootstrap>:1122(_exec)
    367/8    0.002    0.000    1.166    0.146 <frozen importlib._bootstrap>:1465(exec_module)
    564/8    0.001    0.000    1.164    0.146 <frozen importlib._bootstrap>:313(_call_with_frames_removed)
  4084845    1.108    0.000    1.108    0.000 {built-in method hypot}
   414/34    0.002    0.000    0.850    0.025 {built-in method __import__}
   240000    0.452    0.000    0.791    0.000 /home/lipastomies/git/igem/modeling/2015/particle_model/vector2.py:27(__add__)
      974    0.064    0.000    0.769    0.001 /usr/lib/python3.4/site-packages/scipy/stats/_distn_infrastructure.py:799(rvs)
 2123/836    0.004    0.000    0.738    0.001 <frozen importlib._bootstrap>:2264(_handle_fromlist)
   480460    0.690    0.000    0.690    0.000 /home/lipastomies/git/igem/modeling/2015/particle_model/vector2.py:20(__init__)
      974    0.001    0.000    0.583    0.001 /usr/lib/python3.4/site-packages/scipy/stats/_continuous_distns.py:126(_rvs)
      974    0.582    0.001    0.582    0.001 {method 'standard_normal' of 'mtrand.RandomState' objects}
        1    0.000    0.000    0.479    0.479 /usr/lib/python3.4/site-packages/scipy/stats/__init__.py:335(<module>)
        1    0.000    0.000    0.466    0.466 /usr/lib/python3.4/site-packages/scipy/stats/stats.py:168(<module>)
        4    0.000    0.000    0.421    0.105 /usr/lib/python3.4/site-packages/matplotlib/pyplot.py:3090(plot)
        4    0.000    0.000    0.409    0.102 /usr/lib/python3.4/site-packages/matplotlib/pyplot.py:810(gca)
        1    0.000    0.000    0.389    0.389 /usr/lib/python3.4/site-packages/scipy/stats/distributions.py:8(<module>)
        1    0.001    0.001    0.375    0.375 /usr/lib/python3.4/site-packages/matplotlib/pyplot.py:17(<module>)
      974    0.280    0.000    0.280    0.000 {method 'tolist' of 'numpy.ndarray' objects}
        1    0.001    0.001    0.245    0.245 /usr/lib/python3.4/site-packages/scipy/stats/_continuous_distns.py:5(<module>)
       86    0.007    0.000    0.235    0.003 /usr/lib/python3.4/site-packages/scipy/stats/_distn_infrastructure.py:1399(__init__)
        4    0.000    0.000    0.233    0.058 /usr/lib/python3.4/site-packages/matplotlib/pyplot.py:455(gcf)
        1    0.000    0.000    0.233    0.233 /usr/lib/python3.4/site-packages/matplotlib/pyplot.py:327(figure)
        1    0.000    0.000    0.233    0.233 /usr/lib/python3.4/site-packages/matplotlib/backends/backend_qt4agg.py:39(new_figure_manager)
        1    0.000    0.000    0.232    0.232 /usr/lib/python3.4/site-packages/matplotlib/backends/backend_qt4agg.py:50(new_figure_manager_given_figure)
        1    0.000    0.000    0.191    0.191 /usr/lib/python3.4/site-packages/matplotlib/colorbar.py:20(<module>)
        4    0.000    0.000    0.176    0.044 /usr/lib/python3.4/site-packages/matplotlib/figure.py:1232(gca)
        1    0.000    0.000    0.176    0.176 /usr/lib/python3.4/site-packages/matplotlib/figure.py:886(add_subplot)
        1    0.000    0.000    0.176    0.176 /usr/lib/python3.4/site-packages/matplotlib/axes/_subplots.py:23(__init__)
        1    0.000    0.000    0.175    0.175 /usr/lib/python3.4/site-packages/matplotlib/backends/backend_qt4agg.py:69(__init__)
        1    0.000    0.000    0.175    0.175 /usr/lib/python3.4/site-packages/matplotlib/backends/backend_qt4.py:65(__init__)
        1    0.175    0.175    0.175    0.175 /usr/lib/python3.4/site-packages/matplotlib/backends/backend_qt5.py:123(_create_qApp)
      367    0.006    0.000    0.174    0.000 <frozen importlib._bootstrap>:1534(get_code)
        1    0.000    0.000    0.169    0.169 /usr/lib/python3.4/site-packages/matplotlib/axes/_base.py:329(__init__)
        1    0.000    0.000    0.165    0.165 /usr/lib/python3.4/site-packages/numpy/__init__.py:106(<module>)
       99    0.003    0.000    0.165    0.002 /usr/lib/python3.4/site-packages/scipy/stats/_distn_infrastructure.py:696(_construct_doc)
      218    0.064    0.000    0.156    0.001 /usr/lib/python3.4/site-packages/scipy/misc/doccer.py:12(docformat)
       12    0.000    0.000    0.155    0.013 /usr/lib/python3.4/site-packages/matplotlib/axis.py:725(cla)
    16/12    0.000    0.000    0.153    0.013 /usr/lib/python3.4/site-packages/matplotlib/axis.py:760(reset_ticks)
    32/24    0.001    0.000    0.152    0.006 /usr/lib/python3.4/site-packages/matplotlib/axis.py:67(__init__)
   240000    0.144    0.000    0.144    0.000 /home/lipastomies/git/igem/modeling/2015/particle_model/objects_revised.py:59(setPosition)
        1    0.000    0.000    0.139    0.139 /usr/lib/python3.4/site-packages/matplotlib/__init__.py:101(<module>)
        1    0.000    0.000    0.131    0.131 /usr/lib/python3.4/site-packages/matplotlib/axes/_base.py:817(cla)
      366    0.002    0.000    0.130    0.000 <frozen importlib._bootstrap>:654(_compile_bytecode)
      829    0.005    0.000    0.129    0.000 /usr/lib/python3.4/inspect.py:919(getargspec)
      366    0.127    0.000    0.127    0.000 {built-in method loads}
        1    0.000    0.000    0.127    0.127 /usr/lib/python3.4/site-packages/matplotlib/collections.py:10(<module>)
        1    0.000    0.000    0.126    0.126 /usr/lib/python3.4/site-packages/numpy/add_newdocs.py:10(<module>)
      100    0.004    0.000    0.125    0.001 /usr/lib/python3.4/site-packages/matplotlib/lines.py:249(__init__)
